PV_MW,Bat_MWh,CAPEX,OPEX,Total_Cost,RE_Coverage,PV_Share,E_imp,E_exp,E_pv,E_demand,Scenario,tau
90.0,0.0,4571524.153460204,785235.954236425,5356760.107696628,61.651659156957464,64.32857280617613,11854.001305295838,0.0,21377.08093003517,30911.379852947368,S1 τ=40,40
92.0,0.0,4673113.579092653,777918.252712968,5451031.83180562,62.01616127013968,64.66763077600048,11741.32867251806,0.0,21489.753562812944,30911.379852947368,S1 τ=40,40
94.0,0.0,4774703.004725101,770829.752295943,5545532.757021044,62.36979616508993,64.99658011594832,11632.015246847419,0.0,21599.066988483588,30911.379852947368,S1 τ=40,40
96.0,0.0,4876292.43035755,763963.4172293809,5640255.847586932,62.71334612532499,65.3161485020781,11525.819213654511,0.0,21705.263021676496,30911.379852947368,S1 τ=40,40
98.0,0.0,4977881.855989999,757256.3605487356,5735138.216538735,63.04905001935964,65.62841851823744,11422.048507788324,0.0,21809.033727542686,30911.379852947368,S1 τ=40,40
0.0,0.0,0.0,2203346.6402033684,2203346.6402033684,-7.504363743770104,0.0,33231.08223533101,0.0,0.0,30911.379852947368,S2 τ=40,40
0.0,6.0,942442.9805243728,2191352.9530415596,3133795.9335659323,-7.902853043092345,0.0,33354.26077631785,0.0,0.0,30911.379852947368,S2 τ=40,40
0.0,12.0,1884885.9610487456,2182237.6347528305,4067123.595801576,-8.214734793863448,0.0,33450.66772899073,0.0,0.0,30911.379852947368,S2 τ=40,40
11.0,0.0,558741.8409784694,1752561.5005564445,2311303.341534914,14.201803712343386,20.19096406900168,26521.406361454923,0.0,6709.675873876084,30911.379852947368,S2 τ=40,40
11.0,6.0,1501184.821502842,1695618.4505997065,3196803.2721025487,16.185719353840536,22.65460696731503,25908.150661549702,0.0,7588.544675690768,30911.379852947368,S2 τ=40,40
11.0,12.0,2443627.802027215,1660248.3388005947,4103876.1408278095,17.347696968099612,24.12024908499931,25548.967347399863,0.0,8121.368993081033,30911.379852947368,S2 τ=40,40
22.0,0.0,1117483.6819569387,1462997.4294831115,2580481.1114400504,28.436628659347296,33.432124196167976,22121.22555068443,0.0,11109.856684646576,30911.379852947368,S2 τ=40,40
22.0,6.0,2059926.6624813115,1387213.3015894918,3447139.9640708035,31.427922084962347,36.87637048651718,21196.575477376322,0.0,12382.886985010868,30911.379852947368,S2 τ=40,40
22.0,12.0,3002369.643005684,1336745.0922001302,4339114.735205814,33.382584483306324,39.09565479258709,20592.362358581482,0.0,13218.628119114523,30911.379852947368,S2 τ=40,40
